time,model,count,message,sources,configs_json
2026-05-08 16:04:21,qwen3-14b,19,ERROR: Exception in ASGI application,logs/vllm-qwen-108234.txt:166; logs/vllm-qwen-108234.txt:673; logs/vllm-qwen-114547.log:131; logs/vllm-qwen-115800.log:1434; logs/vllm-qwen-115800.log:1528; logs/vllm-qwen-115800.log:1622; logs/vllm-qwen-115800.log:1716; logs/vllm-qwen-115814.log:342; logs/vllm-qwen-115814.log:436; logs/vllm-qwen-115814.log:531; logs/vllm-qwen-115814.log:625; logs/vllm-qwen-115814.log:751; logs/vllm-qwen-115814.log:845; logs/vllm-qwen-115814.log:939; logs/vllm-qwen-115814.log:1033; logs/vllm-qwen-115814.log:1745; logs/vllm-qwen-115814.log:1839; logs/vllm-qwen-115814.log:1933; logs/vllm-qwen-115814.log:2027,"[{""architecture"": ""Qwen2ForCausalLM"", ""dtype"": ""bfloat16"", ""enable_auto_tool_choice"": true, ""enforce_eager"": true, ""generation_config"": ""vllm"", ""host"": ""127.0.0.1"", ""max_model_len"": ""32768"", ""model_tag"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""served_model_name"": [""Qwen/Qwen2.5-7B-Instruct""], ""source_file"": ""vllm-qwen-115814.log"", ""source_model"": ""qwen"", ""tool_call_parser"": ""hermes"", ""vllm_model"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct""}]"
2026-05-08 16:04:21,qwen3-14b,19,"vllm.exceptions.VLLMValidationError: This model's maximum context length is 32768 tokens. However, you requested 0 output tokens and your prompt contains at least 32769 input tokens, for a total of at least 32769 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=32769)",logs/vllm-qwen-108234.txt:258; logs/vllm-qwen-108234.txt:765; logs/vllm-qwen-114547.log:223; logs/vllm-qwen-115800.log:1526; logs/vllm-qwen-115800.log:1620; logs/vllm-qwen-115800.log:1714; logs/vllm-qwen-115800.log:1808; logs/vllm-qwen-115814.log:434; logs/vllm-qwen-115814.log:528; logs/vllm-qwen-115814.log:623; logs/vllm-qwen-115814.log:717; logs/vllm-qwen-115814.log:843; logs/vllm-qwen-115814.log:937; logs/vllm-qwen-115814.log:1031; logs/vllm-qwen-115814.log:1125; logs/vllm-qwen-115814.log:1837; logs/vllm-qwen-115814.log:1931; logs/vllm-qwen-115814.log:2025; logs/vllm-qwen-115814.log:2119,"[{""architecture"": ""Qwen2ForCausalLM"", ""dtype"": ""bfloat16"", ""enable_auto_tool_choice"": true, ""enforce_eager"": true, ""generation_config"": ""vllm"", ""host"": ""127.0.0.1"", ""max_model_len"": ""32768"", ""model_tag"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""served_model_name"": [""Qwen/Qwen2.5-7B-Instruct""], ""source_file"": ""vllm-qwen-115814.log"", ""source_model"": ""qwen"", ""tool_call_parser"": ""hermes"", ""vllm_model"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct""}]"
2026-05-13 16:43:18,qwen3-14b,1,EngineCore failed to start.,logs/vllm-qwen-114602.log:56,"[{""architecture"": ""Qwen2ForCausalLM"", ""dtype"": ""bfloat16"", ""enable_auto_tool_choice"": true, ""enforce_eager"": true, ""generation_config"": ""vllm"", ""host"": ""127.0.0.1"", ""max_model_len"": ""32768"", ""model_tag"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""served_model_name"": [""Qwen/Qwen2.5-7B-Instruct""], ""source_file"": ""vllm-qwen-114602.log"", ""source_model"": ""qwen"", ""tool_call_parser"": ""hermes"", ""vllm_model"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct""}]"
2026-05-13 16:43:18,qwen3-14b,3,RuntimeError: Engine core initialization failed. See root cause above. Failed core proc(s): {},logs/vllm-qwen-114602.log:319; logs/qwen-calib-50-114405.out:226; logs/qwen-calib-50-114602.out:226,"[{""architecture"": ""Qwen2ForCausalLM"", ""dtype"": ""bfloat16"", ""enable_auto_tool_choice"": true, ""enforce_eager"": true, ""generation_config"": ""vllm"", ""host"": ""127.0.0.1"", ""max_model_len"": ""32768"", ""model_tag"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""served_model_name"": [""Qwen/Qwen2.5-7B-Instruct""], ""source_file"": ""vllm-qwen-114602.log"", ""source_model"": ""qwen"", ""tool_call_parser"": ""hermes"", ""vllm_model"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct""}, {""job_started"": ""Wed May 13 13:45:18 PDT 2026"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g023"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114405"", ""source_file"": ""qwen-calib-50-114405.out"", ""source_model"": ""qwen-calib-50"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-114405.log""}, {""job_started"": ""Wed May 13 16:42:31 PDT 2026"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g015"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114602"", ""source_file"": ""qwen-calib-50-114602.out"", ""source_model"": ""qwen-calib-50"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-114602.log""}]"
2026-05-14 12:29:42.867000,qwen3-14b,1,"| ERROR | tau2.utils.llm_utils:generate:417 - litellm.RateLimitError: RateLimitError: OpenAIException - Rate limit reached for gpt-4o-mini in organization org-PULSPgM6lwA8eDv6oU0Vabzi on tokens per min (TPM): Limit 200000, Used 192269, Requested 10178. Please try again in 734ms. Visit https://platform.openai.com/account/rate-limits to learn more.",logs/qwen-calib-50-115800.out:2438,"[{""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""job_started"": ""Thu May 14 12:23:31 PDT 2026"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g008"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800"", ""save"": ""Not specified"", ""source_file"": ""qwen-calib-50-115800.out"", ""source_model"": ""qwen-calib-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115800.log""}]"
2026-05-14 12:29:42.867000,qwen3-14b,4,Retry 1/3 for task <id>: litellm.RateLimitError: RateLimitError: OpenAIException,logs/qwen-calib-50-115800.out:2440; logs/qwen-calib-50-115800.out:2515; logs/qwen-tau2-50-115814.out:2075; logs/qwen-tau2-50-115814.out:2164,"[{""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""job_started"": ""Thu May 14 12:23:31 PDT 2026"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g008"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800"", ""save"": ""Not specified"", ""source_file"": ""qwen-calib-50-115800.out"", ""source_model"": ""qwen-calib-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115800.log""}, {""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_tau2_calib_50_115814"", ""save"": ""Not specified"", ""source_file"": ""qwen-tau2-50-115814.out"", ""source_model"": ""qwen-tau2-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115814.log""}]"
2026-05-14 12:29:59.527000,qwen3-14b,1,"| ERROR | tau2.utils.llm_utils:generate:417 - litellm.RateLimitError: RateLimitError: OpenAIException - Rate limit reached for gpt-4o-mini in organization org-PULSPgM6lwA8eDv6oU0Vabzi on tokens per min (TPM): Limit 200000, Used 189211, Requested 11475. Please try again in 205ms. Visit https://platform.openai.com/account/rate-limits to learn more.",logs/qwen-calib-50-115800.out:2513,"[{""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""job_started"": ""Thu May 14 12:23:31 PDT 2026"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g008"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800"", ""save"": ""Not specified"", ""source_file"": ""qwen-calib-50-115800.out"", ""source_model"": ""qwen-calib-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115800.log""}]"
2026-05-14 12:30:43,qwen3-14b,14,json.decoder.JSONDecodeError: Extra data: line 2 column 74 (char 74),logs/vllm-qwen-115800.log:850; logs/vllm-qwen-115800.log:862; logs/vllm-qwen-115800.log:877; logs/vllm-qwen-115800.log:888; logs/vllm-qwen-115800.log:900; logs/vllm-qwen-115800.log:912; logs/vllm-qwen-115800.log:925; logs/vllm-qwen-115800.log:938; logs/vllm-qwen-115800.log:951; logs/vllm-qwen-115800.log:963; logs/vllm-qwen-115800.log:975; logs/vllm-qwen-115800.log:987; logs/vllm-qwen-115800.log:1000; logs/vllm-qwen-115800.log:1012,"[{""architecture"": ""Qwen2ForCausalLM"", ""dtype"": ""bfloat16"", ""enable_auto_tool_choice"": true, ""enforce_eager"": true, ""generation_config"": ""vllm"", ""host"": ""127.0.0.1"", ""max_model_len"": ""32768"", ""model_tag"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""served_model_name"": [""Qwen/Qwen2.5-7B-Instruct""], ""source_file"": ""vllm-qwen-115800.log"", ""source_model"": ""qwen"", ""tool_call_parser"": ""hermes"", ""vllm_model"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct""}]"
2026-05-14 12:35:44.961000,qwen3-14b,4,"| ERROR | tau2.utils.llm_utils:generate:417 - litellm.ContextWindowExceededError: litellm.BadRequestError: ContextWindowExceededError: Hosted_vllmException - {""error"":{""message"":""This model's maximum context length is 32768 tokens. However, you requested 0 output tokens and your prompt contains at least 32769 input tokens, for a total of at least 32769 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=32769)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}",logs/qwen-calib-50-115800.out:4302; logs/qwen-tau2-50-115814.out:1044; logs/qwen-tau2-50-115814.out:1172; logs/qwen-tau2-50-115814.out:3220,"[{""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""job_started"": ""Thu May 14 12:23:31 PDT 2026"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g008"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800"", ""save"": ""Not specified"", ""source_file"": ""qwen-calib-50-115800.out"", ""source_model"": ""qwen-calib-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115800.log""}, {""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_tau2_calib_50_115814"", ""save"": ""Not specified"", ""source_file"": ""qwen-tau2-50-115814.out"", ""source_model"": ""qwen-tau2-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115814.log""}]"
2026-05-14 12:35:44.961000,qwen3-14b,4,litellm.BadRequestError: ContextWindowExceededError: Hosted_vllmException -,logs/qwen-calib-50-115800.out:4305; logs/qwen-tau2-50-115814.out:1047; logs/qwen-tau2-50-115814.out:1175; logs/qwen-tau2-50-115814.out:3223,"[{""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""job_started"": ""Thu May 14 12:23:31 PDT 2026"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""node"": ""g008"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_115800"", ""save"": ""Not specified"", ""source_file"": ""qwen-calib-50-115800.out"", ""source_model"": ""qwen-calib-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115800.log""}, {""agent"": ""llm_agent"", ""agent_model"": ""hosted_vllm/Qwen/Qwen2.5-7B-Instruct"", ""concurrency"": ""3"", ""domain"": ""retail"", ""max_errors"": ""10"", ""max_steps"": ""200"", ""model_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct"", ""project_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability"", ""python"": ""/gpfs/projects/imt526a/group2/envLLM/bin/python"", ""python_version"": ""Python 3.12.13"", ""result_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_tau2_calib_50_115814"", ""save"": ""Not specified"", ""source_file"": ""qwen-tau2-50-115814.out"", ""source_model"": ""qwen-tau2-50"", ""task_set"": ""Default"", ""tasks"": ""All"", ""tau2_dir"": ""/gpfs/projects/imt526a/group2/agent-reliability/repos/tau-bench"", ""trials"": ""1"", ""user"": ""user_simulator"", ""user_model"": ""gpt-4o-mini"", ""verbose"": ""False"", ""vllm_log"": ""/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-115814.log""}]"
