source_file,source_model,python,python_version,summary,job_started,node,model_dir,result_dir,vllm_log,model_tag,vllm_model,dtype,enforce_eager,tool_call_parser,served_model_name,generation_config,enable_auto_tool_choice,host,architecture,max_model_len,model,fault,seed,range,output,project_dir,tau2_dir,domain,task_set,tasks,trials,max_steps,max_errors,agent,agent_model,user,user_model,save,concurrency,verbose
tau-calib-50-104705.out,tau-calib-50,/gpfs/projects/imt526a/ytmao/group2/envs/group2-agent/bin/python,Python 3.11.15,none found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen-calib-50-108234.out,qwen-calib-50,/gpfs/projects/imt526a/group2/envLLM/bin/python,Python 3.12.13,job_started=Fri May  8 15:59:06 PDT 2026; node=g023; model_dir=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; result_dir=/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_108234,Fri May  8 15:59:06 PDT 2026,g023,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_108234,/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-108234.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vllm-qwen-108234.txt,qwen,,,served_model_name=Qwen/Qwen2.5-7B-Instruct; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; architecture=Qwen2ForCausalLM; max_model_len=32768; dtype=bfloat16; tool_call_parser=hermes; enforce_eager=True,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,bfloat16,True,hermes,Qwen/Qwen2.5-7B-Instruct,vllm,True,127.0.0.1,Qwen2ForCausalLM,32768,,,,,,,,,,,,,,,,,,,,
qwen-calib-50-114405.out,qwen-calib-50,/gpfs/projects/imt526a/group2/envLLM/bin/python,Python 3.12.13,job_started=Wed May 13 13:45:18 PDT 2026; node=g023; model_dir=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; result_dir=/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114405,Wed May 13 13:45:18 PDT 2026,g023,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114405,/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-114405.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen-calib-50-114547.out,qwen-calib-50,/gpfs/projects/imt526a/group2/envLLM/bin/python,Python 3.12.13,job_started=Wed May 13 15:43:08 PDT 2026; node=g019; model_dir=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; result_dir=/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114547,Wed May 13 15:43:08 PDT 2026,g019,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114547,/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-114547.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vllm-qwen-114547.log,qwen,,,served_model_name=Qwen/Qwen2.5-7B-Instruct; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; architecture=Qwen2ForCausalLM; max_model_len=32768; dtype=bfloat16; tool_call_parser=hermes; enforce_eager=True,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,bfloat16,True,hermes,Qwen/Qwen2.5-7B-Instruct,vllm,True,127.0.0.1,Qwen2ForCausalLM,32768,,,,,,,,,,,,,,,,,,,,
qwen-calib-50-114602.out,qwen-calib-50,/gpfs/projects/imt526a/group2/envLLM/bin/python,Python 3.12.13,job_started=Wed May 13 16:42:31 PDT 2026; node=g015; model_dir=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; result_dir=/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114602,Wed May 13 16:42:31 PDT 2026,g015,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/results/qwen_vllm_calib_50_114602,/gpfs/projects/imt526a/group2/agent-reliability/logs/vllm-qwen-114602.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vllm-qwen-114602.log,qwen,,,served_model_name=Qwen/Qwen2.5-7B-Instruct; vllm_model=/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct; architecture=Qwen2ForCausalLM; max_model_len=32768; dtype=bfloat16; tool_call_parser=hermes; enforce_eager=True,,,,,,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,/gpfs/projects/imt526a/group2/agent-reliability/models/qwen2.5-7b-instruct,bfloat16,True,hermes,Qwen/Qwen2.5-7B-Instruct,vllm,True,127.0.0.1,Qwen2ForCausalLM,32768,,,,,,,,,,,,,,,,,,,,
rollout-qwen-114780.out,qwen,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=10; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_10,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,10,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_10,,,,,,,,,,,,,,,
rollout-qwen-114793.out,qwen,,,model=Qwen/Qwen2.5-7B-Instruct; fault=clean; seed=10; range=0 -> 10; output=/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_10,,,,,,,,,,,,,,,,,Qwen/Qwen2.5-7B-Instruct,clean,10,0 -> 10,/gpfs/projects/imt526a/group2/agent-reliability/results/Qwen/Qwen2.5-7B-Instruct/clean/seed_10,,,,,,,,,,,,,,,
